

gen best mean std
0 44.870777 -4.410399 7.257529
1 44.870777 -2.240092 9.37155
2 44.870777 -0.385971 9.974083
3 44.870777 1.379675 10.658395
4 56.160106 3.172018 12.404729
5 56.160106 4.917895 12.38841
6 56.160106 6.033045 12.061413
7 56.160106 7.376059 12.216183
8 56.160106 8.502256 12.304554
9 56.160106 9.326715 11.87294
10 56.160106 10.722664 12.216141
11 57.730283 12.249758 13.033374
12 57.730283 13.127361 13.105251
13 57.730283 14.51035 13.219733
14 57.730283 14.840311 13.145245
15 57.730283 16.089365 13.263793
16 70.241566 18.296961 14.483207
17 70.241566 19.094614 14.688283
18 70.241566 20.089367 14.46162
19 70.241566 21.174933 14.490934
20 70.241566 22.184915 14.876001
21 70.241566 23.485508 15.032632
22 70.241566 24.195405 15.248861
23 70.241566 25.071609 15.158986
24 70.241566 25.625995 14.913168
25 70.241566 26.146952 14.786995
26 70.241566 27.347718 14.347029
27 70.241566 27.844918 14.292951
28 70.241566 28.570852 14.424314
29 70.241566 29.322544 14.216598
