gen          best        mean
0       12.925082   -4.486590
1       47.057121   -3.850042
2       12.771346   -4.167546
3       32.783134   -3.769812
4       44.900726   -3.584856
5       30.735125   -2.906712
6       28.652462   -3.841724
7       18.516192   -2.998604
8       38.013900   -3.437280
9       21.949753   -3.092169
10      25.846568   -4.520537
11      39.975281   -2.419419
12      23.982584   -3.348470
13      50.478897   -2.588983
14      23.190694   -3.662161
15      39.124551   -4.174299
16      26.647706   -3.904413
17      16.738116   -3.874219
18      28.465940   -3.031352
19      18.996924   -3.864217
20      48.112475   -2.872087
21      17.178647   -4.592878
22      25.669816   -3.791812
23      31.183289   -2.784583
24      41.414638   -3.456274
25      48.538897   -3.145251
26      14.185818   -3.988577
27      27.127932   -3.912953
28      15.211477   -4.217859
29      51.384106   -3.332483
