gen          best        mean
0       27.163381   -3.903127
1       30.990630   -3.424784
2       23.555207   -3.498973
3       15.560838   -4.330509
4       37.913563   -3.349713
5       29.249782   -3.374367
6       19.713370   -4.555798
7       27.507417   -3.701407
8       18.160279   -4.441040
9       44.953252   -4.180119
10      46.738580   -3.114220
11      16.743899   -3.881345
12      26.648762   -4.074797
13      48.819289   -3.529580
14      23.758802   -4.318481
15      41.504549   -3.219630
16      20.966679   -4.168470
17      57.692695   -1.797803
18      21.488443   -2.684892
19      30.979861   -3.606063
20      34.428284   -3.996983
21      54.200349   -3.090876
22      26.643698   -3.166276
23      31.088314   -3.840654
24      19.968828   -4.288943
25       9.879433   -4.432578
26      51.390390   -3.808852
27      38.068529   -3.141579
28      34.712013   -3.101185
29      41.625909   -3.444969
