

gen best mean std
0 12.305147 -4.339152 4.473402
1 47.150839 -1.63517 8.91139
2 74.099734 1.587167 12.385384
3 74.099734 3.825427 14.053995
4 74.099734 5.907188 15.105471
5 74.099734 7.545597 14.734558
6 74.099734 9.81127 14.710894
7 74.099734 11.545084 14.743334
8 74.099734 14.173815 14.679384
9 74.099734 15.136515 14.926528
10 74.099734 15.89703 14.671736
11 74.099734 17.930736 14.85348
12 74.099734 19.302418 14.568007
13 74.099734 20.315372 14.083476
14 74.099734 21.137507 13.931662
15 74.099734 22.509342 15.178925
16 74.099734 23.624952 15.224976
17 74.099734 24.495642 15.02315
18 74.099734 24.958466 14.851231
19 74.099734 25.418234 14.644476
20 74.099734 26.378523 14.380497
21 74.099734 27.473858 14.653447
22 74.099734 28.210875 14.203403
23 74.099734 29.33148 14.438143
24 74.099734 29.694477 14.415287
25 74.099734 29.698176 14.410249
26 74.099734 31.202447 14.090587
27 74.099734 32.050194 13.815401
28 74.099734 32.761517 13.853033
29 74.099734 33.479161 13.652812
