

gen best mean std
0 27.680406 -4.905671 5.556589
1 53.428152 -0.571239 11.393821
2 53.428152 1.624157 12.48899
3 53.428152 2.576023 12.549136
4 53.428152 5.071678 12.952096
5 53.428152 7.818418 13.562952
6 53.428152 10.363787 14.200993
7 53.428152 11.410345 14.152262
8 53.428152 14.749795 13.550734
9 53.428152 15.962009 13.668319
10 57.341429 17.693753 14.767269
11 57.341429 18.982328 14.217118
12 57.341429 20.197171 13.803151
13 57.341429 21.049605 13.112799
14 57.341429 22.610453 14.055855
15 57.341429 24.218536 13.326527
16 57.341429 26.128742 12.583735
17 59.043841 27.271306 13.030809
18 68.595644 28.910555 13.689883
19 68.595644 30.619264 13.519289
20 68.595644 31.497297 13.414504
21 68.595644 32.251901 13.212419
22 68.595644 33.057941 13.295387
23 68.595644 33.492854 13.172559
24 68.595644 34.30281 13.422859
25 68.9331 35.73547 13.618067
26 68.9331 36.445997 13.40592
27 72.514309 37.720161 14.258833
28 72.514309 38.099153 13.802294
29 72.514309 38.459339 13.650151
