

gen best mean std
0 16.891417 -5.015374 4.855047
1 32.255226 -2.261825 7.075508
2 51.578736 0.129747 9.52177
3 51.578736 2.044258 10.64673
4 51.578736 3.969087 11.023303
5 51.578736 6.310981 10.808387
6 51.578736 8.369709 11.13888
7 51.578736 10.135852 10.970096
8 51.578736 12.468986 11.050878
9 51.578736 14.387324 11.050865
10 51.578736 16.579701 11.353204
11 51.578736 18.197974 11.408338
12 51.578736 19.027521 11.722897
13 57.148096 21.52479 12.399579
14 57.148096 23.053111 11.848335
15 57.148096 24.116662 11.192205
16 57.148096 25.587765 11.561704
17 57.148096 26.845551 11.933028
18 57.148096 27.785157 11.928368
19 60.841596 28.857855 12.265873
20 64.333234 29.82889 12.301834
21 64.333234 31.958704 12.522873
22 64.333234 32.888233 12.213669
23 64.333234 34.27669 12.738474
24 64.333234 34.849999 12.720503
25 64.333234 35.242306 12.57876
26 74.372823 35.971222 12.659955
27 74.372823 37.628019 13.421996
28 74.372823 38.824703 12.999195
29 74.372823 39.743711 12.844489
