

gen best mean std
0 30.334764 -3.589845 7.703086
1 41.672028 0.093998 10.00648
2 41.672028 3.642606 11.812601
3 41.672028 5.660552 11.726875
4 41.672028 7.751115 11.838552
5 42.355625 9.873716 12.367124
6 44.050969 11.171969 13.118218
7 44.050969 12.400129 12.441568
8 44.050969 13.961118 12.16927
9 68.610907 16.280901 12.968541
10 68.610907 17.776179 13.408808
11 68.610907 19.867844 13.482961
12 68.610907 22.149324 13.322032
13 68.610907 23.186556 13.186726
14 68.610907 24.066585 13.281703
15 68.610907 24.929944 13.23416
16 68.610907 26.025927 12.960233
17 68.610907 26.775932 13.097464
18 69.406978 27.934171 13.540882
19 69.406978 29.193582 13.253653
20 69.406978 30.016355 13.261972
21 69.406978 30.661292 13.145508
22 69.406978 32.093946 13.147579
23 69.406978 33.443505 13.943883
24 69.406978 33.968402 13.976028
25 74.789375 35.264416 14.558837
26 74.789375 35.930377 14.553
27 76.346806 37.134184 14.958608
28 76.346806 38.159861 15.099782
29 76.346806 38.929367 14.686411
