

gen best mean std
0 33.920721 -4.056632 8.060412
1 33.920721 -0.243944 10.423069
2 36.23648 2.282057 10.88019
3 38.568514 5.298919 11.873623
4 38.568514 7.900439 12.066679
5 38.568514 10.293207 11.546638
6 38.568514 12.203699 11.49677
7 69.214025 14.384056 12.907214
8 69.214025 16.648795 13.497986
9 69.214025 18.441722 12.935875
10 74.982988 20.79268 13.710891
11 74.982988 23.077056 13.734363
12 74.982988 24.461146 13.235269
13 74.982988 25.633476 13.306967
14 74.982988 26.209707 13.261659
15 74.982988 28.320951 12.780341
16 74.982988 28.937698 12.746977
17 74.982988 29.3644 12.716535
18 74.982988 29.972786 12.69716
19 85.566158 32.005371 14.429325
20 85.566158 33.38299 14.827105
21 85.566158 34.318643 14.774372
22 85.566158 35.814507 14.832302
23 85.566158 36.534783 14.967212
24 85.566158 37.346123 14.760622
25 85.566158 38.441065 14.392287
26 85.566158 38.860502 14.606513
27 85.566158 39.240003 14.499941
28 85.566158 39.89614 14.844358
29 85.566158 40.610388 14.51782
