

gen best mean std
0 25.930202 -3.739375 7.372194
1 69.102424 0.672133 11.859154
2 69.102424 3.963728 13.55544
3 69.102424 6.152723 14.182249
4 69.102424 8.524813 14.665228
5 69.102424 11.915804 15.228278
6 69.102424 14.548339 14.327196
7 69.102424 16.175813 14.289064
8 69.102424 18.700284 15.70013
9 69.102424 20.555758 16.276349
10 69.102424 21.871347 16.047317
11 69.102424 23.481958 15.624478
12 69.102424 24.226778 15.178516
13 69.102424 26.439005 15.265347
14 69.102424 28.636113 15.533071
15 69.102424 29.668681 14.853677
16 69.102424 30.892859 14.637543
17 69.102424 31.596431 14.145349
18 69.102424 32.510002 14.240559
19 69.102424 34.231242 15.089396
20 69.102424 35.502985 14.934759
21 69.102424 36.152331 14.47233
22 69.102424 36.887246 14.343941
23 69.102424 37.729926 13.817787
24 74.519492 38.440226 14.093156
25 74.519492 38.669278 13.981931
26 74.519492 38.720824 13.959801
27 79.663515 39.810029 14.514323
28 79.663515 40.289507 14.205067
29 79.663515 40.864259 14.110094
