gen          best        mean
0       49.905437   -3.314862
1       39.793265   -2.789648
2       27.419835   -2.177426
3       51.631555   -3.191092
4       41.094793   -3.472822
5       46.161287   -2.593328
6       17.419004   -4.191513
7       30.697165   -4.144792
8       38.454019   -2.234906
9       24.202102   -3.514004
10      24.196626   -4.602142
11      24.412847   -1.925014
12      56.407106   -3.081985
13      40.917595   -1.886535
14      43.614414   -1.567783
15      38.602873   -3.882730
16      28.631807   -2.902021
17      24.182259   -4.158479
18      42.144230   -2.569933
19      38.567318   -2.691879
20      32.327052   -3.379703
21      67.329047   -1.501170
22      34.858592   -4.345846
23      24.121151   -4.233416
24      57.811126   -4.116706
25      28.006192   -3.498062
26      30.856980   -3.160148
27      32.124861   -2.919023
28      46.608221   -2.776492
29      62.170159   -1.869045
