gen          best        mean
0       80.368708   -2.934341
1       24.966988   -4.247359
2       71.990763   -2.578936
3       61.886874   -3.425046
4       17.828853   -5.144449
5       46.069233   -3.105896
6       36.788206   -3.267992
7       46.569152   -2.074801
8       53.098274   -3.215288
9       35.439670   -2.062275
10      18.266282   -3.664441
11      45.003194   -1.984183
12      31.874455   -3.551656
13      30.891780   -2.944554
14      56.884574   -1.855401
15      41.797611   -2.037566
16      25.428911   -4.365293
17      58.486680   -2.398233
18      42.343085   -2.512123
19      24.177030   -3.010682
20      33.949385   -4.506463
21      59.658302   -2.419841
22      24.182259   -3.978465
23      36.275905   -2.950630
24      39.558386   -3.088758
25      51.992231   -2.675919
26      32.657941   -3.132909
27      27.925014   -2.942328
28      24.201611   -2.998956
29      25.471531   -3.836752
