gen          best        mean
0       29.267067   -3.873800
1       18.623665   -4.528970
2       12.961802   -4.781886
3       19.505498   -3.867227
4       27.210193   -3.980500
5       41.610720   -3.553019
6       41.731804   -2.997709
7       44.855369   -3.078945
8       27.370096   -4.341851
9       46.464092   -3.548335
10      25.408131   -3.897306
11      39.852081   -4.394978
12      11.118744   -4.407871
13      23.841912   -4.442306
14      34.326707   -4.672876
15      16.834537   -3.929429
16      24.710711   -3.838925
17      16.755133   -4.145382
18      19.631864   -4.558708
19      23.731183   -3.494190
20      10.514178   -4.562398
21      11.698544   -4.284399
22      27.221944   -3.634069
23      35.139373   -3.356715
24      32.924993   -3.843614
25      32.945685   -3.627902
26      33.126425   -3.731139
27      42.544239   -3.516794
28      44.531324   -3.884380
29      73.770795   -3.596120
