gen          best        mean
0       30.032125   -3.379672
1       15.022170   -4.293121
2       34.201537   -3.691514
3       39.895806   -3.933920
4       53.876748   -3.854501
5       21.881646   -4.508847
6       27.103648   -3.858100
7       23.847830   -3.747155
8       21.816153   -5.112035
9       32.432488   -3.904045
10      31.201308   -3.393488
11      17.212837   -4.104811
12      24.014335   -3.771214
13      44.726509   -2.856321
14       9.770509   -4.485420
15      12.519939   -4.133369
16      27.201420   -3.609137
17      15.764889   -4.449897
18       9.879433   -4.392090
19       9.879433   -4.931728
20      29.253574   -3.913062
21      12.383327   -4.645987
22      27.261739   -3.926484
23      54.300031   -2.369982
24      51.281588   -2.571084
25      41.760875   -2.144751
26      67.745359   -2.490297
27      55.966587   -2.460668
28      48.948024   -3.590687
29      27.554120   -3.508065
