

gen best mean std
0 35.466003 -3.483941 8.615007
1 35.466003 -1.908266 9.212823
2 64.092368 2.170603 13.304342
3 64.092368 4.411268 13.815755
4 64.092368 7.153481 14.852966
5 64.092368 9.652269 15.621163
6 64.092368 11.866654 15.850374
7 64.092368 14.677225 15.554828
8 64.092368 16.756566 15.58873
9 64.092368 18.829472 14.852702
10 64.092368 20.323388 14.484565
11 64.092368 22.701326 15.027657
12 64.092368 23.946246 14.809329
13 67.27031 25.346485 14.823003
14 67.27031 26.299305 14.065624
15 67.27031 26.756906 14.011926
16 67.27031 27.629675 13.9555
17 67.27031 29.125198 13.54495
18 67.27031 30.508713 13.834867
19 72.507993 31.775514 14.676663
20 72.507993 32.767771 14.735565
21 72.507993 33.358698 14.844282
22 72.507993 33.75804 14.814095
23 72.507993 34.417727 14.636871
24 72.507993 34.972525 14.386838
25 72.507993 35.598021 14.823089
26 72.507993 35.890389 14.796287
27 72.507993 37.265177 14.946142
28 72.507993 37.849506 14.882464
29 76.786204 39.131627 14.650323
