

gen best mean std
0 36.863392 -3.642741 7.037367
1 36.863392 -1.757635 8.261441
2 36.863392 -0.342204 9.054508
3 36.863392 1.470379 10.156072
4 39.692237 2.836192 11.550695
5 39.692237 3.761937 11.870232
6 42.702801 4.938695 12.545066
7 48.831074 6.545551 13.180015
8 48.831074 7.702796 13.254077
9 48.831074 10.305353 14.858049
10 55.89259 12.033562 15.552024
11 55.89259 13.564715 15.549224
12 55.89259 14.893326 15.247702
13 55.89259 17.063389 14.587875
14 55.89259 17.793161 14.797016
15 55.89259 18.202858 15.042382
16 55.89259 19.220104 14.277405
17 55.89259 19.981718 13.972532
18 55.89259 21.127411 13.6446
19 55.89259 21.735669 13.432813
20 55.89259 22.586386 13.023358
21 55.89259 23.834046 13.385909
22 55.89259 23.976611 13.457993
23 58.927067 25.083718 13.88232
24 58.927067 26.313783 13.360362
25 67.607778 27.622617 13.730836
26 68.091727 29.421683 14.73375
27 68.091727 29.694729 14.654498
28 68.091727 30.927139 14.971556
29 68.091727 32.250482 15.126345
