

gen best mean std
0 15.573355 -5.322651 4.769594
1 29.503228 -2.579362 7.500821
2 40.884149 -1.296563 9.068254
3 40.884149 0.583701 10.238559
4 40.884149 1.987387 10.616474
5 43.582632 5.615385 12.578197
6 43.582632 8.191032 13.975398
7 59.606809 10.783633 14.843177
8 59.606809 13.308379 15.314358
9 59.606809 16.658096 15.268801
10 59.606809 18.123314 15.357568
11 59.606809 20.476368 15.922816
12 59.667607 21.747297 15.754486
13 59.667607 22.699164 15.713965
14 59.667607 23.625975 15.477241
15 59.667607 25.020163 15.947313
16 59.667607 26.704791 15.832947
17 59.667607 28.278173 14.899038
18 68.758133 28.884956 15.372974
19 68.758133 30.032917 14.596048
20 68.758133 30.85636 14.358926
21 68.758133 31.776176 14.279103
22 68.758133 32.874262 14.292824
23 68.758133 33.976 14.469889
24 68.758133 35.202065 13.956756
25 68.758133 35.567695 13.53622
26 68.758133 36.224654 12.986839
27 68.758133 37.104018 12.668972
28 68.758133 37.926005 12.045235
29 68.758133 38.333337 12.058928
