gen          best        mean
0       44.674863   -2.204539
1       29.068787   -3.061866
2       26.261803   -3.196457
3       20.288692   -3.936723
4       13.467372   -3.742939
5       48.892021   -3.115171
6       18.900605   -4.352156
7       12.627848   -3.687248
8       39.981230   -4.232413
9       25.259832   -4.076562
10      29.258735   -3.892568
11      27.257626   -4.323780
12      48.966598   -2.897208
13      31.099901   -4.017920
14      55.862184   -3.104339
15      24.609764   -4.138980
16      40.070151   -2.266572
17      23.202723   -3.823556
18      41.522834   -3.163904
19      44.805418   -3.873504
20      16.701295   -4.137624
21      34.107277   -3.553547
22      25.611438   -4.002842
23      35.132705   -3.686881
24      23.866267   -3.887819
25      25.695544   -3.357500
26      25.462388   -3.107105
27      33.873307   -3.285974
28      31.948773   -2.981123
29       9.879433   -4.580641
