gen          best        mean
0       37.372295   -3.164606
1       56.066953   -2.202351
2       16.753429   -4.393136
3       47.023533   -2.424255
4       20.108475   -4.114925
5       50.026073   -3.602970
6       35.208453   -3.413009
7       63.306140   -3.708339
8       48.789214   -2.072741
9       44.855344   -2.950282
10      26.622920   -4.175967
11      30.781874   -2.667362
12      24.009121   -3.528274
13      25.173241   -3.045926
14      21.942726   -3.958483
15      26.649631   -3.567325
16      39.132182   -1.722038
17      12.399680   -4.738702
18      14.128484   -3.901432
19      48.584228   -2.368121
20      26.928261   -3.702859
21      25.242658   -4.020446
22      27.168351   -3.194200
23      41.758514   -3.339212
24      25.240202   -3.086034
25      31.202248   -3.218509
26      56.387096   -3.350394
27      23.214913   -4.274350
28      16.273211   -4.020481
29      12.781398   -4.663576
