

gen best mean std
0 53.875496 -2.465116 8.943773
1 53.875496 -1.142195 9.210466
2 53.875496 0.135467 9.825086
3 53.875496 2.559872 10.855568
4 53.875496 3.98167 11.233605
5 58.200598 6.098655 12.353003
6 58.200598 8.534627 12.198905
7 58.200598 9.670164 11.781488
8 58.200598 11.415372 12.578399
9 58.200598 13.837503 12.924106
10 63.442354 15.379373 13.574513
11 63.442354 16.789113 13.642829
12 63.442354 17.843697 13.354273
13 63.442354 19.097619 13.816799
14 63.442354 20.284779 14.074561
15 63.442354 21.455915 13.917185
16 63.442354 22.142214 13.518519
17 63.442354 23.475777 13.149779
18 63.442354 24.265084 13.054504
19 63.442354 24.395724 12.976532
20 63.442354 25.487064 13.349416
21 63.442354 26.240928 13.359009
22 63.442354 26.913563 12.946926
23 63.442354 27.705366 13.283377
24 63.442354 28.079803 13.309157
25 63.442354 29.281829 13.554897
26 63.442354 29.707609 13.710178
27 63.442354 30.20162 13.490959
28 63.442354 30.979638 13.427867
29 63.442354 32.066745 13.241494
