

gen best mean std
0 35.296606 -4.261313 7.727358
1 35.296606 -0.900482 9.603982
2 43.591305 1.972783 10.958916
3 43.591305 4.519431 12.321546
4 43.591305 6.359521 12.678146
5 43.591305 9.306535 13.95785
6 46.489984 12.173134 14.379018
7 46.489984 14.335626 14.111935
8 46.489984 15.922288 13.948136
9 54.726421 18.212527 13.891087
10 58.437611 19.596345 13.904226
11 58.437611 20.471827 14.071715
12 58.437611 21.437979 14.285558
13 58.437611 23.496754 14.171714
14 58.437611 25.471732 13.258471
15 75.087457 27.484335 13.942847
16 75.087457 29.409289 14.736116
17 75.087457 31.232269 15.32827
18 75.087457 31.929957 15.581684
19 75.087457 32.461409 15.272966
20 75.087457 33.922641 15.232098
21 75.087457 34.632041 15.12211
22 75.087457 35.498839 15.040888
23 75.087457 35.966832 14.780173
24 75.087457 37.360391 14.651475
25 75.087457 38.584989 14.252488
26 75.087457 38.707751 14.109947
27 75.087457 39.137969 13.960349
28 75.087457 39.574336 13.923157
29 75.087457 39.6177 13.870677
