

gen best mean std
0 11.486719 -4.148637 4.652898
1 41.114109 -1.868492 7.778736
2 41.114109 0.440089 9.54655
3 41.114109 2.089583 10.508453
4 41.114109 3.595664 11.135717
5 41.114109 5.685561 11.663345
6 45.913249 7.217887 12.874744
7 45.913249 8.626255 12.667761
8 51.331118 11.070723 13.896771
9 51.331118 12.004988 13.723419
10 63.274426 13.990169 14.136687
11 63.274426 15.128086 14.409418
12 63.274426 15.97574 14.055754
13 63.274426 17.560847 14.220248
14 63.274426 18.638706 14.430653
15 63.274426 20.006198 14.181704
16 63.274426 20.914081 14.156622
17 63.274426 21.722728 14.064478
18 63.274426 23.541371 14.710358
19 70.212557 25.121942 15.585846
20 70.212557 26.143481 15.077043
21 70.212557 27.680033 14.728858
22 70.212557 27.905575 14.603826
23 70.212557 28.582622 14.621644
24 70.212557 29.07848 14.431267
25 70.212557 29.69947 14.344683
26 70.212557 30.453641 14.094793
27 73.580178 31.738963 13.937079
28 73.580178 32.196992 13.656012
29 73.580178 32.647839 13.606209
