

gen best mean std
0 28.846533 -4.515428 5.504268
1 47.011871 -2.101398 9.120277
2 57.236291 -0.599664 11.045223
3 57.236291 1.166754 11.791985
4 57.236291 3.084752 12.696224
5 57.236291 4.800584 13.603606
6 57.236291 6.350177 14.131718
7 57.236291 8.043217 14.554471
8 57.236291 9.121848 14.814177
9 57.236291 10.829962 15.153085
10 57.236291 12.543437 15.375719
11 57.236291 13.502138 15.204675
12 57.236291 15.012932 15.537711
13 57.236291 16.164056 15.255932
14 57.236291 17.234033 15.18761
15 68.039386 19.331366 16.042786
16 68.039386 20.012762 15.522477
17 68.039386 21.351795 15.335607
18 68.039386 21.885999 15.379181
19 68.039386 22.603654 15.512046
20 68.039386 23.084969 15.265219
21 68.039386 23.436414 15.032441
22 68.039386 24.508586 14.915557
23 68.039386 25.343906 14.853159
24 68.039386 26.170506 14.710595
25 69.924431 27.698675 15.486464
26 69.924431 29.143102 15.253365
27 69.924431 29.513879 15.082254
28 69.924431 30.801796 15.070337
29 69.924431 31.286548 15.165932
