gen          best        mean
0       46.693218   -3.006637
1       42.335289   -2.656740
2       27.050370   -3.825615
3       32.604758   -2.861163
4       33.617628   -3.054397
5       56.815347   -2.882476
6       32.694280   -2.624827
7       17.920848   -3.983733
8       59.514178   -3.544754
9       24.190424   -3.525689
10      38.595463   -2.304609
11      25.673225   -4.494715
12      29.951169   -3.144890
13      25.284190   -3.680821
14      24.180157   -3.673844
15      39.478150   -2.414584
16      29.246816   -3.432065
17      57.217057   -2.546332
18      25.535187   -3.180817
19      24.182259   -3.553648
20      29.496464   -3.248149
21      31.304955   -3.747374
22      27.613839   -4.392380
23      40.925883   -3.517664
24      43.884730   -2.998464
25      42.528404   -3.225123
26      38.582752   -3.039682
27      33.088029   -3.449041
28      40.907484   -3.533667
29      17.536458   -3.365989
