gen          best        mean
0       28.364479   -3.089652
1       38.478046   -2.025058
2       24.182259   -3.116756
3       37.319425   -3.961336
4       24.179319   -3.523603
5       22.419676   -4.422369
6       45.340924   -3.837817
7       24.182259   -3.077536
8       24.207254   -4.180897
9       41.344554   -3.214534
10      44.111068   -3.792033
11      40.423505   -2.692589
12      58.526505   -2.237722
13      24.177332   -4.064745
14      62.605549   -3.625377
15      24.207254   -3.917941
16      42.525789   -3.493357
17      30.928846   -3.320364
18      62.388154   -2.728804
19      46.384334   -3.953589
20      62.282090   -3.553779
21      38.583421   -3.227985
22      24.184940   -3.638070
23      24.182259   -4.317416
24      30.722332   -3.310231
25      40.181400   -3.082850
26      20.106847   -4.157313
27      24.182259   -4.429072
28      52.822724   -3.268653
29      33.757459   -4.275156
