gen          best        mean
0       37.362867   -4.416507
1       25.399880   -3.981787
2       25.521880   -3.406777
3       26.985481   -4.300375
4        9.879889   -4.522531
5       10.973861   -4.580306
6       40.009191   -3.243126
7       20.963680   -4.365634
8       26.639462   -3.272324
9       41.558973   -3.828062
10      37.971246   -3.854268
11      12.970184   -3.906156
12      62.852466   -3.682210
13      38.049817   -2.692075
14      34.453085   -4.162345
15      15.985626   -3.606503
16      47.887544   -3.666920
17      16.750858   -3.389279
18      18.441339   -3.712926
19      28.968286   -3.647977
20      15.818333   -3.701919
21      46.981620   -3.236124
22      26.993274   -2.782484
23      48.045123   -2.997228
24      18.907271   -4.579020
25      18.552413   -4.188835
26      47.005411   -1.977004
27      15.658812   -4.500676
28      35.333765   -1.992920
29      32.903593   -3.277623
