gen          best        mean
0       63.359783   -3.217033
1       28.950973   -3.736590
2       25.708175   -4.030981
3       11.317913   -4.710030
4       44.631810   -3.972144
5       26.620643   -3.825716
6       43.255893   -3.423728
7       33.761001   -3.398754
8       25.435246   -2.863036
9       22.041843   -4.103691
10      37.878057   -3.366665
11      46.766873   -3.590937
12      29.078627   -3.594330
13      24.208240   -3.967416
14      48.948363   -3.649020
15      55.752127   -3.639831
16      35.306407   -4.355514
17      45.030979   -2.309800
18      48.857005   -2.936959
19      35.119534   -4.051397
20      42.694475   -4.257749
21      42.002608   -3.681424
22      18.383104   -3.939946
23      13.211534   -4.509594
24      40.069669   -4.091833
25      19.879972   -3.498476
26      40.284460   -4.577060
27      32.977548   -2.868498
28      44.640463   -3.441048
29      37.742069   -2.570712
