

gen best mean std
0 49.725283 -2.326856 9.545876
1 49.725283 0.226965 10.763225
2 49.725283 2.949428 11.388797
3 49.725283 5.88613 12.421988
4 49.725283 9.485345 13.787669
5 49.725283 12.060596 13.580757
6 49.725283 13.624643 13.157021
7 49.725283 15.939373 13.710919
8 49.725283 17.650149 13.527841
9 60.70481 20.959698 13.758323
10 60.70481 22.617384 13.345034
11 60.70481 22.984634 12.928594
12 60.70481 23.091938 12.81493
13 60.70481 24.052641 12.855657
14 76.649566 24.837195 13.683978
15 76.649566 25.934048 14.210496
16 76.649566 27.864072 13.849198
17 76.649566 29.257391 13.124453
18 76.649566 30.682077 13.703749
19 76.649566 31.389157 13.462566
20 76.649566 32.154942 13.425495
21 76.649566 32.841487 13.57243
22 76.649566 33.323502 13.201619
23 76.649566 34.30022 12.942375
24 76.649566 35.286161 13.248248
25 76.649566 35.583837 13.397914
26 76.649566 36.142884 13.196469
27 76.649566 37.082329 13.085069
28 76.649566 37.87418 12.868812
29 76.649566 38.863173 13.09087
