gen          best        mean
0       25.571945   -3.783923
1       28.537454   -1.874367
2       26.620643   -3.975215
3       19.703013   -4.327118
4       21.341552   -3.523893
5       20.099970   -3.759063
6       11.406568   -4.393578
7       41.614717   -3.144430
8       16.750347   -4.199690
9       14.340808   -3.334006
10      26.728549   -4.240581
11      12.911854   -4.410533
12      25.341932   -3.985977
13      10.826971   -4.643004
14      34.021707   -3.924798
15      11.347030   -4.515308
16      23.861630   -3.926502
17      44.595669   -3.265149
18      27.224602   -4.246337
19       9.970596   -4.559068
20      31.003633   -4.436701
21      11.751549   -4.504676
22      23.182150   -3.779609
23      77.407705   -2.919507
24      21.683386   -3.863427
25      22.525910   -4.479986
26       9.975123   -4.707131
27      13.484588   -3.497534
28      28.297875   -4.068253
29      41.575305   -3.974175
