gen          best        mean
0       17.883637   -3.681166
1       42.071066   -2.599482
2       31.315358   -3.911930
3       32.948575   -4.133802
4       67.064514   -3.207681
5       54.126390   -4.235606
6       31.118617   -3.075532
7       29.260023   -3.245726
8       38.984256   -3.262111
9       51.320437   -1.852084
10      47.617662   -2.726636
11      31.328504   -4.254194
12      16.547864   -3.399571
13      62.760079   -3.523250
14      16.885307   -4.066414
15      44.434204   -3.655425
16      55.205652   -3.213567
17      44.847525   -3.138993
18      20.330138   -3.797765
19      40.090232   -4.147273
20      29.278659   -3.494689
21      18.286854   -3.556400
22      73.719283   -2.914262
23      34.770599   -3.897984
24      21.957861   -4.083751
25      41.532884   -3.641981
26      34.266864   -3.358468
27      23.201842   -4.152365
28      35.184249   -3.163403
29      19.476190   -3.491877
