

gen best mean std
0 30.453176 -2.829517 7.949222
1 37.965873 -0.438228 9.719511
2 49.286788 1.774999 11.453409
3 49.286788 3.465285 11.798926
4 51.895205 6.238694 13.152886
5 51.895205 9.577199 14.221052
6 51.895205 12.242284 14.251935
7 51.895205 13.623125 13.963914
8 51.895205 16.368666 13.968758
9 51.895205 18.661002 13.944285
10 51.895205 20.526051 13.54522
11 57.178569 21.630243 13.473788
12 62.164255 23.535184 14.196764
13 62.164255 23.927285 14.078003
14 62.164255 24.745134 13.548598
15 62.164255 26.242492 13.382796
16 62.164255 27.615942 13.316669
17 62.164255 28.419936 12.985358
18 62.164255 29.098053 13.00039
19 62.164255 30.152231 12.954494
20 62.164255 31.285954 12.592633
21 63.725747 32.632402 12.658701
22 63.725747 33.716396 12.848406
23 63.725747 34.098767 13.130691
24 63.725747 34.925451 13.027647
25 63.725747 35.796304 12.834274
26 67.398334 36.359357 13.013288
27 67.398334 37.13391 12.938927
28 67.398334 38.00561 12.769102
29 67.398334 38.65019 12.4819
