

gen best mean std
0 50.914914 -2.361102 10.157835
1 50.914914 -0.261335 10.821892
2 50.914914 2.089279 11.665455
3 50.914914 4.498932 12.483367
4 50.914914 6.140597 12.836535
5 50.914914 7.390267 12.72163
6 50.914914 8.95083 12.575761
7 50.914914 9.369516 12.432274
8 50.914914 10.8408 12.581248
9 50.914914 12.667383 12.536085
10 50.914914 15.322785 12.975043
11 61.297887 16.86521 13.470238
12 61.297887 17.512551 13.258045
13 61.297887 18.382764 13.056486
14 61.297887 19.893937 12.603266
15 61.297887 21.499952 12.581816
16 61.297887 22.273231 12.911531
17 61.297887 23.247216 13.386519
18 61.297887 24.758483 13.054055
19 61.297887 25.415567 12.827751
20 61.297887 26.732306 13.473445
21 61.297887 27.190919 13.329772
22 61.297887 27.381023 13.240127
23 61.297887 27.983058 13.244252
24 61.297887 28.245097 13.263627
25 63.755999 28.819729 13.661404
26 63.755999 29.402898 13.959366
27 63.755999 30.191633 13.720068
28 63.755999 30.729522 13.525365
29 85.923854 31.315188 14.592563
