gen          best        mean
0       49.410813   -2.922742
1       38.570062   -3.476987
2       44.245200   -2.567566
3       32.602676   -2.751607
4       32.260529   -3.561929
5       24.466046   -2.761073
6       38.913755   -3.607356
7       41.195556   -4.083877
8       24.170218   -3.337295
9       46.967881   -2.976558
10      43.864898   -2.917402
11      28.877313   -4.030050
12      24.180157   -4.508766
13      31.549717   -3.321875
14      39.883940   -3.054896
15      24.182259   -3.204700
16      24.182259   -3.800140
17      62.172216   -2.904740
18      29.455401   -2.037679
19      44.183292   -2.525345
20      44.491488   -2.679065
21      39.546526   -3.418143
22      27.183330   -4.233602
23      24.181928   -4.600037
24      24.182259   -3.651664
25      32.824785   -2.988274
26      24.114194   -3.770974
27      35.421984   -3.475722
28      24.187051   -3.423856
29      24.228056   -4.232410
