gen          best        mean
0       60.620825   -3.676260
1       39.616558   -2.204868
2       68.995284   -2.025544
3       24.128187   -4.073988
4       28.017496   -3.734062
5       24.198351   -3.780698
6       34.121842   -4.062969
7       40.984616   -1.480982
8       43.918813   -4.189244
9       27.034211   -2.142936
10      24.198936   -3.967696
11      59.430125   -1.621727
12      46.793864   -4.546959
13      32.036058   -2.956546
14      25.670933   -2.928546
15      48.698059   -2.620908
16      41.242024   -3.167456
17      24.182259   -4.189651
18      62.436188   -3.871159
19      21.624562   -4.287132
20      60.752007   -3.681577
21      23.721786   -4.365023
22      63.595009   -2.612874
23      41.133229   -4.889497
24      31.890067   -2.855112
25      29.219965   -2.656296
26      24.496422   -3.420426
27      34.948288   -3.051425
28      71.832941   -3.299362
29      41.271258   -3.984453
