

gen best mean std
0 38.610855 -3.417529 8.94949
1 38.610855 -0.725519 9.63335
2 38.610855 1.586255 10.893514
3 38.610855 3.799793 11.672962
4 47.299116 6.34691 12.600041
5 47.299116 9.33318 12.524244
6 47.299116 11.89623 13.034836
7 47.299116 13.444604 12.724134
8 47.299116 15.550984 12.011829
9 47.299116 17.573737 12.259279
10 47.299116 18.297712 12.357744
11 47.999806 20.189026 12.953695
12 47.999806 20.452521 13.187361
13 47.999806 22.210049 12.734598
14 50.033742 23.524119 12.392881
15 51.909164 24.390445 12.302735
16 58.433427 25.778749 12.39516
17 58.433427 27.15252 12.672803
18 58.433427 28.151718 12.367392
19 58.433427 29.432619 12.201094
20 58.433427 30.444381 12.091874
21 58.433427 31.424245 12.465072
22 74.256116 32.848001 13.82784
23 74.256116 33.841943 13.987286
24 74.256116 34.995672 14.021708
25 74.256116 35.846172 13.790014
26 75.312695 36.920932 14.217009
27 75.312695 38.030242 14.359508
28 75.312695 39.618793 14.331972
29 75.312695 40.93438 14.273432
