

gen best mean std
0 48.605644 -3.329093 7.719258
1 48.605644 -0.920659 8.844635
2 48.605644 0.432183 8.997408
3 48.605644 2.733497 9.815589
4 48.605644 3.945726 10.252672
5 48.874699 5.993007 10.792785
6 48.874699 7.657929 10.955402
7 63.047105 10.152275 12.240371
8 70.113135 12.608126 14.440933
9 70.113135 13.212983 14.171279
10 70.113135 13.819621 13.852238
11 70.113135 15.435534 14.138154
12 70.113135 16.643802 13.980134
13 70.113135 17.283998 13.91473
14 70.113135 19.162343 14.55442
15 70.113135 19.67573 14.347865
16 70.113135 20.482005 14.330523
17 70.113135 21.351083 14.250967
18 70.113135 23.330242 15.185396
19 70.113135 23.8234 14.822252
20 70.113135 24.875061 14.7841
21 70.113135 25.736986 15.028909
22 70.113135 26.18738 15.262699
23 70.113135 27.413307 15.280894
24 70.113135 27.797772 15.029427
25 70.113135 28.613711 15.008367
26 70.113135 30.332838 15.49842
27 70.113135 31.216857 15.221019
28 70.113135 32.278019 15.335774
29 70.113135 32.788997 15.153471
