

gen best mean std
0 37.714387 -4.172273 6.66345
1 37.714387 -0.868486 9.662367
2 37.714387 1.321991 10.508585
3 45.99083 3.178311 12.340209
4 45.99083 4.901739 12.060977
5 59.158675 8.346392 13.774932
6 59.158675 10.057383 13.001929
7 59.158675 11.482314 12.532465
8 59.158675 14.096346 14.095337
9 59.158675 15.546945 14.368561
10 59.158675 17.359811 14.262157
11 59.158675 19.0951 13.721595
12 59.158675 20.137262 13.594621
13 59.158675 22.561989 14.564357
14 67.241913 24.754111 15.237209
15 67.241913 25.865724 14.953969
16 67.241913 26.883523 14.716784
17 67.241913 27.704116 14.002728
18 67.241913 29.358027 13.428122
19 67.241913 30.339415 13.401894
20 68.804321 31.488008 13.824295
21 68.804321 32.172294 13.454642
22 68.804321 32.929478 13.225977
23 68.804321 34.08226 13.936691
24 68.804321 34.766244 13.78024
25 68.804321 35.295915 13.479503
26 68.804321 35.505386 13.567015
27 68.804321 36.318312 13.442933
28 68.804321 36.564009 13.557152
29 68.804321 37.871265 12.775837
