gen          best        mean
0       23.719790   -5.365632
1       29.274099   -4.189954
2       27.141895   -2.890528
3       70.593009   -2.106126
4       16.292802   -3.774156
5       61.099841   -3.313040
6       33.001576   -3.208559
7       34.269038   -4.135149
8       19.833954   -4.578594
9       24.173954   -4.821002
10      22.096673   -4.217298
11      39.854557   -3.463852
12      32.110705   -4.087702
13      53.120235   -2.558268
14      26.623925   -4.532665
15      86.599346   -3.327591
16      26.639218   -4.533528
17      32.744725   -4.503679
18      44.914965   -4.278545
19      29.118212   -4.099433
20      39.891877   -3.646310
21      23.777467   -3.350584
22      33.038637   -3.242382
23      26.622789   -4.317601
24      48.884678   -3.239254
25      46.962667   -2.674003
26      24.987725   -3.783086
27      42.645546   -2.910860
28       9.879433   -5.205939
29      51.628027   -3.200889
