gen          best        mean
0       32.684448   -3.715032
1       27.479707   -3.850018
2       14.690770   -4.386591
3       20.086559   -3.725169
4       16.744456   -4.880635
5       44.883598   -2.731940
6       14.997096   -3.733858
7       32.723765   -3.732177
8       28.812696   -3.755170
9       11.384583   -4.097901
10      31.139831   -3.507691
11      27.229753   -4.394994
12      34.340294   -4.575272
13      25.720578   -2.839871
14      27.359229   -4.371949
15      45.127006   -4.431239
16      23.793994   -3.592409
17      57.025394   -3.338057
18      58.133093   -3.722021
19      31.120620   -2.938267
20      32.961959   -3.061586
21      46.221962   -2.744395
22      26.716135   -4.018461
23      41.629675   -2.316773
24      26.644443   -3.682688
25      31.524580   -3.480248
26      32.702190   -3.258633
27      27.364080   -3.572252
28      11.406929   -4.366834
29      23.861333   -3.046559
