gen          best        mean
0       37.896918   -3.317136
1       27.198773   -3.662225
2       22.127039   -3.559981
3       16.656890   -4.445289
4       18.462039   -4.378207
5        9.879433   -4.361701
6       11.412074   -3.938941
7       11.438885   -4.555027
8       10.172511   -4.403012
9       48.537824   -1.965677
10      33.720891   -3.983391
11      37.785817   -3.741674
12      56.174374   -3.124194
13      41.109197   -3.555422
14      70.142169   -2.899368
15      11.143878   -3.841278
16      28.360261   -2.833454
17      16.424470   -3.593900
18      33.104057   -3.761333
19      31.097313   -3.881318
20      18.893115   -4.086231
21      13.024199   -3.856257
22      25.296287   -4.306063
23      14.874267   -4.580109
24      16.684568   -3.714018
25      37.951175   -4.194382
26      37.867673   -3.692676
27       9.879433   -4.740591
28      32.469937   -3.436129
29      32.948898   -3.794810
