

gen best mean std
0 31.01576 -4.616433 5.698295
1 43.953065 -1.084487 9.318197
2 43.953065 1.170566 9.899618
3 48.206086 2.866102 11.542916
4 48.206086 5.677812 12.306297
5 79.622641 7.436703 13.99901
6 79.622641 9.49937 14.525495
7 79.622641 11.128268 14.744694
8 79.622641 13.48679 14.919817
9 79.622641 14.514493 14.122905
10 79.622641 15.825232 13.943674
11 79.622641 17.110686 13.431533
12 79.622641 17.623712 13.541359
13 79.622641 19.761189 14.69055
14 79.622641 20.592871 15.09594
15 79.622641 21.943231 14.97037
16 79.622641 23.22827 15.096504
17 79.622641 25.090732 15.334809
18 79.622641 26.016671 15.068481
19 79.622641 28.025395 15.424879
20 79.622641 29.041642 15.505132
21 79.622641 30.442587 15.331646
22 79.622641 31.656825 14.511328
23 79.622641 33.256722 15.233927
24 79.622641 33.881399 14.874612
25 79.622641 34.570673 15.335038
26 79.622641 35.401328 15.063155
27 79.622641 36.648873 14.47845
28 79.622641 37.394346 13.956372
29 79.622641 38.290958 13.889865
