

gen best mean std
0 55.934155 -2.288488 10.331678
1 55.934155 0.102969 11.544064
2 55.934155 2.11428 12.623193
3 55.934155 4.339299 12.81311
4 55.934155 6.896786 13.116755
5 55.934155 9.156711 13.625281
6 57.646854 10.976118 14.12532
7 57.646854 12.036688 14.430655
8 57.646854 13.26748 14.400646
9 57.646854 15.061875 13.907239
10 57.646854 17.453334 14.358706
11 57.646854 18.433033 13.612768
12 57.646854 19.008555 13.047264
13 57.646854 19.934245 13.231974
14 57.646854 20.865085 13.179104
15 57.646854 22.33924 12.789261
16 57.646854 22.858034 12.674798
17 57.646854 23.819818 13.307877
18 61.163358 25.255691 13.772174
19 61.163358 26.290171 13.818237
20 61.163358 26.723872 13.80013
21 61.163358 27.145234 13.603849
22 61.163358 27.25515 13.580589
23 62.914768 28.223745 13.739063
24 62.914768 29.640109 13.9268
25 62.914768 29.94628 13.735316
26 62.914768 30.248992 13.544203
27 62.914768 31.1905 13.326201
28 62.914768 31.415221 13.342968
29 62.914768 32.217386 13.222854
