

gen best mean std
0 51.505926 -3.273915 9.630522
1 51.505926 -1.521897 10.150772
2 51.505926 0.572473 10.981231
3 51.505926 2.58507 11.546752
4 51.505926 4.65347 12.342954
5 51.505926 8.106938 13.921505
6 56.721927 10.711121 15.148647
7 56.721927 12.98428 14.811196
8 59.535107 15.045369 15.308763
9 59.535107 16.392933 15.105478
10 59.535107 17.984767 14.96025
11 64.425365 20.353688 15.590609
12 64.425365 22.830063 15.199908
13 64.425365 24.369171 14.489871
14 64.425365 25.20361 14.478791
15 64.425365 27.334925 13.90572
16 64.425365 28.185209 13.337155
17 64.425365 29.74234 12.608175
18 64.425365 30.53022 13.098487
19 64.425365 31.120325 13.112321
20 64.425365 31.518531 12.907457
21 64.425365 32.229833 13.072727
22 64.425365 33.204261 13.090524
23 64.425365 34.065259 13.129328
24 64.425365 34.460341 12.753315
25 64.425365 35.71913 12.896156
26 68.431473 36.744392 13.437652
27 68.431473 38.266365 12.991263
28 68.431473 38.849166 13.209647
29 68.431473 39.650917 12.887126
