gen          best        mean
0       24.182259   -3.400144
1       35.421363   -2.487990
2       74.744317   -4.353830
3       46.800522   -3.905924
4       10.582397   -5.093649
5       53.692322   -1.138549
6       35.422296   -3.575716
7       41.427354   -3.857257
8       35.409549   -3.490272
9       39.692994   -2.930447
10      46.999053   -2.189922
11      28.610718   -3.933358
12      30.357764   -3.579053
13      29.862496   -3.536527
14      27.705375   -3.599335
15      34.015104   -2.991734
16      42.100877   -3.146326
17      24.182259   -3.733642
18      30.216379   -3.420703
19      24.182259   -3.873780
20      36.740939   -2.662363
21      24.182259   -3.192269
22      24.838241   -3.435572
23      24.214969   -2.788327
24      48.113777   -0.744833
25      56.898713   -2.432211
26      31.589261   -3.686383
27      13.964094   -3.982876
28      33.451894   -3.372096
29      43.845852   -3.430575
