gen          best        mean
0       24.182259   -3.698585
1       28.345201   -4.580819
2       32.602132   -3.881369
3       35.879369   -4.451246
4       38.613817   -4.294744
5       41.557389   -2.506498
6       29.355890   -4.251939
7       23.128196   -4.344665
8       52.127953   -3.385443
9       39.587982   -3.694511
10      29.035142   -3.373785
11      43.962534   -2.406993
12      44.576394   -4.203223
13      46.007307   -2.416946
14      25.283600   -4.067211
15      42.345784   -3.321966
16      39.473179   -1.018770
17      64.104687   -1.589170
18      36.708303   -3.476922
19      56.488820   -2.875645
20      22.702347   -4.538824
21      35.448596   -3.156244
22      31.205101   -3.354119
23      25.034767   -3.904465
24      56.783960   -3.721707
25      25.338928   -3.228304
26      62.666292   -1.287288
27      24.198858   -3.197200
28      29.348451   -4.139625
29      32.624813   -3.466617
