

gen best mean std
0 30.81982 -2.95257 6.680621
1 30.81982 -0.428404 8.076691
2 30.81982 1.693164 9.051791
3 30.81982 4.069901 10.081241
4 32.919796 5.638827 10.863903
5 32.919796 8.062263 11.145669
6 48.727743 9.655393 11.872823
7 48.727743 10.320848 11.838247
8 48.727743 12.032876 12.471289
9 48.727743 13.474591 12.71948
10 48.727743 14.507514 12.402797
11 48.727743 15.432694 12.301703
12 48.727743 15.922359 12.141327
13 48.727743 16.107101 12.023016
14 48.727743 17.020507 11.96875
15 48.727743 17.72645 11.897521
16 48.727743 18.168698 11.59544
17 49.141008 19.827258 12.440467
18 51.5282 21.092688 12.886719
19 51.5282 22.085508 12.888356
20 51.5282 22.569738 12.409354
21 51.5282 22.725686 12.407192
22 63.784055 23.423655 12.829862
23 70.442088 24.189482 13.019792
24 70.442088 24.751901 13.247921
25 70.442088 25.094307 13.120021
26 70.442088 25.838172 13.510876
27 70.442088 26.406715 13.647291
28 70.442088 26.803635 13.892979
29 70.442088 27.452393 13.646655
