gen          best        mean
0       54.330931   -1.575318
1       62.040131   -2.691374
2       29.196335   -3.806421
3       24.209485   -5.076944
4       24.182259   -2.757162
5       30.854098   -2.515112
6       48.266129   -2.922623
7       35.510520   -2.706299
8       40.521219   -2.708403
9       41.290601   -2.791136
10      51.645345   -2.404235
11      24.182259   -4.038072
12      64.596063   -1.577609
13      25.612618   -3.513465
14      34.168972   -3.701840
15      43.081859   -2.709827
16      36.211106   -3.026825
17      23.306179   -4.718667
18      31.077695   -3.547248
19      24.202102   -3.317593
20      57.343483   -1.063519
21      59.561978   -2.890835
22      32.034558   -3.711396
23      42.420048   -3.405893
24      27.997624   -2.196330
25      38.292830   -3.238936
26      38.956014   -4.172066
27      33.779487   -4.197904
28      24.182259   -3.438585
29      39.865060   -2.742463
