gen          best        mean
0       69.666251   -3.255076
1       64.634525   -4.044056
2       34.234182   -2.776752
3       31.176126   -3.435025
4       29.485505   -3.967635
5       46.413966   -3.617027
6       46.090363   -2.235124
7       24.182259   -3.242966
8       24.182259   -5.228436
9       43.603652   -3.766928
10      28.510618   -3.077567
11      32.002299   -3.172439
12      30.417144   -3.651582
13      46.731533   -2.111442
14      57.145356   -3.423241
15      27.533036   -3.724329
16      45.822487   -2.849457
17      32.256293   -3.087718
18      38.557108   -2.972646
19      17.812148   -4.375275
20      43.027083   -3.086701
21      24.166693   -3.806498
22      62.670864   -2.173318
23      39.671582   -3.088142
24      48.536762   -2.547207
25      27.411535   -4.649821
26      47.525511   -3.487745
27      38.608630   -3.103318
28      37.134289   -1.660623
29      49.244856   -1.805441
