

gen best mean std
0 24.182259 -3.986768 5.898931
1 47.34715 -0.234827 10.573308
2 62.487897 1.176907 11.741489
3 62.487897 4.256042 12.551378
4 62.487897 5.715343 12.763516
5 62.487897 8.274372 13.25673
6 62.487897 9.535032 12.640988
7 62.487897 11.465491 13.126173
8 62.487897 12.6717 13.310561
9 62.487897 14.690904 13.105723
10 62.487897 16.648694 13.068289
11 62.487897 18.194875 12.894732
12 63.798947 19.149176 13.377535
13 63.798947 20.941381 13.770612
14 69.048502 22.274638 14.589524
15 69.048502 24.505595 14.549254
16 69.048502 25.206988 13.886115
17 69.048502 26.449689 14.388957
18 69.048502 27.071992 14.594235
19 69.048502 27.862189 14.417201
20 69.048502 28.574644 14.560052
21 69.048502 29.662812 14.961882
22 69.048502 30.538462 15.065594
23 69.048502 31.057921 14.854801
24 69.048502 31.156531 14.753743
25 69.048502 32.166439 14.701936
26 69.048502 32.779448 14.663971
27 69.048502 33.338289 14.525952
28 69.048502 34.214019 14.642593
29 74.145632 34.928304 15.194687
