

gen best mean std
0 30.48746 -3.310182 7.582952
1 32.378895 -1.122962 9.0377
2 35.433706 1.037415 10.275591
3 62.275078 4.20673 12.843506
4 62.275078 7.112431 13.034892
5 74.782362 9.459082 14.444067
6 74.782362 11.245189 14.231803
7 74.782362 12.335525 13.999515
8 74.782362 15.014977 15.034548
9 74.782362 16.105106 15.055396
10 79.643659 19.093935 16.930927
11 79.643659 21.501373 16.627409
12 79.643659 22.983394 16.093959
13 79.643659 24.746901 15.426194
14 79.643659 26.943452 15.755877
15 79.643659 27.573981 15.674591
16 79.643659 28.582756 15.72224
17 79.643659 29.974187 15.954526
18 79.643659 31.067344 15.665897
19 79.643659 31.628746 15.619507
20 79.643659 33.068566 15.661793
21 79.643659 33.877687 15.645165
22 79.643659 34.90744 15.071729
23 79.643659 36.137997 15.224681
24 79.753148 37.212371 15.46979
25 79.753148 37.646475 15.326729
26 79.753148 37.800506 15.142207
27 79.753148 38.275543 15.14534
28 79.753148 39.058503 15.082332
29 79.753148 39.877498 14.58041
