

gen best mean std
0 30.889422 -3.707824 6.699495
1 30.889422 -1.978197 7.4078
2 30.889422 -0.797549 7.845006
3 30.889422 -0.048401 8.358899
4 30.889422 1.408566 8.750512
5 63.262526 2.814037 10.641421
6 63.262526 4.842886 12.012082
7 63.262526 6.162913 12.060058
8 63.262526 7.612108 12.037609
9 63.262526 9.186836 12.714725
10 67.540873 11.272289 14.156824
11 67.540873 13.079368 14.231272
12 67.540873 14.988524 13.763222
13 67.540873 15.973766 14.310224
14 67.540873 16.549513 13.956875
15 67.540873 17.469903 13.612589
16 67.540873 17.910367 13.534347
17 67.540873 19.034841 13.460184
18 67.540873 20.548186 14.194227
19 67.540873 21.303431 14.38084
20 67.540873 22.314924 14.764365
21 70.544233 23.568128 15.66463
22 70.544233 23.843312 15.601307
23 70.544233 24.262062 15.668904
24 70.544233 24.886723 15.563458
25 70.544233 25.375227 15.384006
26 70.544233 25.609255 15.26587
27 70.544233 26.189918 15.169295
28 70.544233 27.555922 15.584478
29 70.544233 28.500468 15.726304
