

gen best mean std
0 31.954235 -2.25683 8.11773
1 31.954235 0.131375 9.593886
2 41.31066 2.423003 10.967406
3 41.31066 4.536609 11.564567
4 69.394624 8.073745 13.526852
5 69.394624 9.536511 13.575491
6 76.303354 12.490251 15.19401
7 76.303354 14.030994 14.600825
8 76.303354 16.424538 15.63751
9 76.303354 18.02202 15.70149
10 76.303354 19.943575 15.303259
11 76.303354 21.495405 15.299722
12 76.303354 24.01886 15.833112
13 76.303354 25.559962 15.747971
14 76.303354 26.494916 15.347685
15 76.303354 27.950992 15.06782
16 76.303354 28.898927 14.846483
17 79.691523 29.927696 15.766259
18 79.691523 30.59808 15.629824
19 79.691523 31.995018 15.695909
20 79.691523 32.46492 15.425457
21 79.691523 33.425617 15.195143
22 79.691523 34.579836 15.627745
23 79.691523 35.858162 15.207492
24 79.691523 37.243017 15.92098
25 79.691523 38.718193 16.414519
26 79.691523 40.510144 15.796798
27 79.691523 41.209197 15.836593
28 79.691523 41.779607 15.403903
29 79.691523 42.286723 15.404331
