

gen best mean std
0 39.955218 -3.799079 6.341668
1 39.955218 -2.22242 6.975775
2 39.955218 -0.062888 8.174245
3 39.955218 1.88721 8.633312
4 39.955218 3.328044 9.296327
5 39.955218 4.716965 9.69176
6 45.622149 5.919385 10.272452
7 48.764143 7.924424 11.077931
8 77.54472 10.332866 14.349466
9 77.54472 11.11347 14.131826
10 77.54472 12.088225 14.180663
11 77.54472 13.432972 14.165281
12 77.54472 15.337482 14.52536
13 77.54472 16.465158 14.183083
14 77.54472 16.828829 13.935599
15 77.54472 18.107786 14.32415
16 77.54472 19.591515 14.708849
17 77.54472 20.140323 14.82422
18 77.54472 21.481744 15.040512
19 77.739979 22.816445 15.98557
20 77.739979 22.889551 15.942844
21 77.739979 23.321865 15.613612
22 77.739979 24.739911 16.115369
23 77.739979 25.925303 16.426126
24 77.739979 27.058158 16.637948
25 77.739979 27.73775 16.386284
26 77.739979 28.783975 16.874557
27 77.739979 30.069249 16.41951
28 77.739979 30.337002 16.287309
29 77.739979 31.318779 16.022746
