

gen best mean std
0 39.776812 -4.150261 7.010505
1 39.776812 -2.270011 8.108081
2 39.776812 -0.509708 8.812243
3 48.607108 0.850298 10.32919
4 48.607108 2.280015 10.948674
5 48.607108 4.179714 11.171684
6 48.607108 5.472719 11.200265
7 48.607108 7.495147 11.212177
8 48.607108 8.505983 11.457031
9 48.607108 9.99332 11.711647
10 48.607108 10.822686 11.47125
11 48.607108 11.534095 11.133181
12 53.111326 13.159938 11.580668
13 53.111326 13.638111 11.251697
14 53.111326 14.529966 11.02157
15 53.111326 16.464456 11.107393
16 53.960883 17.579957 11.906783
17 53.960883 18.318749 12.175999
18 53.960883 18.928681 12.466566
19 53.960883 19.452435 12.113286
20 53.960883 20.026977 12.139199
21 53.960883 21.265163 11.787791
22 53.960883 21.728437 11.571124
23 53.960883 22.206245 11.913459
24 67.95415 22.935803 12.757908
25 67.95415 23.74333 13.334509
26 67.95415 24.337643 13.49155
27 67.95415 25.556192 13.770378
28 67.95415 25.994427 13.879898
29 67.95415 27.245926 13.965452
