gen          best        mean
0       38.160822   -2.315348
1       44.867468   -3.547461
2       15.348449   -4.114920
3       52.972296   -3.031212
4       54.677966   -3.346727
5       42.719113   -3.132099
6       17.250088   -4.614001
7       35.377039   -2.300331
8       34.255235   -3.912431
9       44.759529   -2.613337
10      29.608899   -2.996982
11      24.184802   -3.542696
12      41.075505   -2.514610
13      38.612095   -3.010564
14      42.721103   -4.566423
15      25.974637   -3.984945
16      24.189820   -3.058448
17      45.317938   -3.764773
18      48.861591   -2.412640
19      24.182259   -3.189573
20      37.745873   -3.014291
21      44.130646   -3.641091
22      42.993265   -2.668084
23      25.621342   -4.861296
24      20.838354   -4.891379
25      29.827132   -3.899463
26      40.948786   -2.550801
27      37.041390   -2.189683
28      41.960586   -3.082777
29      57.089744   -2.709237
