

gen best mean std
0 23.796956 -3.563513 5.864742
1 23.796956 -1.603847 6.802416
2 26.621906 0.492149 7.841913
3 26.647883 1.538285 7.794569
4 29.600051 3.318725 8.616084
5 35.28536 4.922014 9.629048
6 35.28536 5.976925 9.739679
7 35.28536 7.160772 9.654525
8 42.175545 8.420628 10.042748
9 54.024323 10.045872 10.974784
10 54.024323 11.515942 11.711379
11 54.024323 11.963544 11.637993
12 54.024323 13.757551 11.822683
13 54.024323 14.519968 11.989266
14 87.238648 16.615154 14.515755
15 87.238648 18.362365 15.132154
16 87.238648 18.763133 15.217974
17 87.238648 19.647169 15.645838
18 87.238648 20.490787 15.674907
19 87.238648 21.406028 15.822605
20 87.238648 21.819326 15.568158
21 87.238648 23.156304 15.287876
22 87.238648 24.845632 15.675343
23 87.238648 25.369727 15.578062
24 87.238648 26.515218 15.911521
25 87.238648 26.751684 15.807655
26 87.238648 27.287535 15.854545
27 87.238648 28.134079 15.890183
28 87.238648 28.891668 15.657653
29 87.238648 29.613562 15.484505
