gen          best        mean
0       38.607604   -3.323646
1       24.182259   -4.315911
2       72.252889   -3.459683
3       24.182259   -4.660707
4       55.515258   -3.938218
5       52.660325   -3.398762
6       46.123505   -2.454256
7       42.267612   -2.622224
8       24.182259   -4.774221
9       71.758621   -0.746746
10      24.201204   -3.598963
11      39.622624   -3.412193
12      28.518977   -4.139131
13      61.973415   -2.754300
14      39.061366   -3.097285
15      24.167079   -3.949021
16      47.331679   -3.127553
17      54.487620   -4.052240
18      39.303968   -2.966352
19      26.418512   -4.042827
20      18.463272   -4.134046
21      47.442555   -1.447434
22      42.897902   -3.427925
23      47.975733   -2.975540
24      42.813191   -2.702612
25      29.578845   -3.824894
26      41.948199   -3.141833
27      58.216243   -3.583090
28      30.826141   -2.915000
29      22.558460   -4.898243
