gen          best        mean
0       47.195496   -3.043769
1       24.178064   -4.614453
2       54.911098   -2.376055
3       32.269978   -3.680466
4       39.357387   -2.522165
5       53.900375   -3.706253
6       44.566274   -2.358394
7       46.304982   -3.699987
8       49.731625   -2.213695
9       46.679420   -3.463500
10      24.182259   -3.785619
11      35.435444   -3.685876
12      48.107017   -2.461751
13      40.380458   -2.548927
14      27.017257   -3.113162
15      48.469794   -3.658248
16      37.040535   -3.949917
17      41.705853   -3.477890
18      49.594531   -2.616842
19      24.182259   -2.246689
20      44.882421   -3.518397
21      48.293998   -3.849306
22      46.118522   -1.588318
23      24.182259   -3.931537
24      24.182259   -3.638268
25      30.859820   -3.879856
26      40.681987   -4.122555
27      33.121568   -2.969159
28      24.201667   -4.095720
29      43.080533   -2.762559
