

gen best mean std
0 46.951268 -3.912357 7.002313
1 46.951268 -2.294671 7.59783
2 46.959782 -0.340643 9.999126
3 46.959782 1.099306 10.344042
4 70.006929 3.457005 13.036591
5 70.006929 4.575497 13.212676
6 70.006929 6.231616 14.265724
7 70.006929 6.955361 14.309954
8 70.006929 8.128219 13.967045
9 70.006929 9.130364 13.607
10 70.006929 10.847002 14.167632
11 70.006929 11.966777 14.250368
12 70.006929 12.830452 13.895018
13 70.006929 14.033564 13.519744
14 84.501066 15.820452 15.141218
15 84.501066 17.936365 16.326774
16 84.501066 20.221987 16.712397
17 84.501066 20.924461 16.556995
18 84.501066 22.412161 16.714701
19 84.501066 23.003164 16.673097
20 84.501066 23.055539 16.649754
21 84.501066 23.671899 16.63602
22 84.501066 24.350973 16.122094
23 84.501066 25.21965 16.462382
24 84.501066 27.423521 16.473757
25 84.501066 28.297819 16.170034
26 84.501066 29.283551 16.062195
27 84.501066 29.726709 15.938007
28 84.501066 30.203449 15.950977
29 84.501066 30.32593 15.83662
