gen          best        mean
0       24.124507   -3.613008
1       26.621151   -3.104274
2       23.174606   -3.550657
3       32.789750   -3.444312
4       31.168157   -2.227128
5       31.117962   -3.178762
6       16.706632   -3.939892
7       18.600274   -3.289351
8       41.789990   -3.015488
9       25.432035   -3.454495
10      25.595224   -3.292524
11      47.004341   -4.192392
12      16.360446   -3.379501
13      44.925277   -2.685141
14      27.037388   -3.900078
15      20.579043   -3.337909
16      24.197790   -3.575144
17      12.817231   -4.913469
18      23.912605   -3.805687
19      32.710998   -3.884103
20      24.144022   -4.435030
21      24.046956   -3.128902
22      53.912951   -1.760253
23      26.805438   -2.928151
24      60.841714   -2.336963
25      25.393033   -4.288197
26      23.910663   -4.447964
27      16.699394   -3.698826
28      31.218528   -3.536711
29      25.481351   -3.846319
