gen          best        mean
0       26.903108   -3.346645
1       70.182517   -3.257537
2       63.360412   -1.653645
3       41.015961   -3.128498
4       25.388208   -2.774831
5       17.475492   -3.947367
6       23.757857   -3.185213
7       38.089416   -3.451819
8       21.183000   -4.472617
9       13.305935   -4.159451
10      32.712527   -3.885167
11      41.671738   -2.623646
12       9.612768   -4.744033
13       9.882840   -4.501226
14      33.003366   -3.351758
15      51.374007   -1.878872
16      25.608586   -4.573193
17      35.284530   -2.651086
18      25.547570   -3.526377
19      55.799166   -3.387465
20      51.408223   -3.230078
21      57.872802   -3.174855
22      22.603784   -4.355212
23      32.259000   -3.481826
24      23.214123   -4.005838
25      33.067588   -4.529032
26      37.871089   -3.314155
27      27.250184   -3.039221
28      37.772935   -3.667348
29      27.181381   -3.963123
