

gen best mean std
0 36.562248 -3.242193 7.60186
1 36.562248 -0.788904 8.60876
2 36.562248 0.975344 10.31916
3 36.562248 2.839056 11.378078
4 36.562248 4.638987 12.092839
5 53.478642 8.190135 14.403771
6 53.478642 10.17948 14.57819
7 53.478642 11.841599 13.591889
8 53.478642 13.38132 13.96404
9 53.478642 15.231847 13.321735
10 64.518132 17.794473 13.884261
11 64.518132 19.180719 12.915591
12 64.518132 20.36987 13.711724
13 64.518132 22.027827 13.620287
14 64.518132 23.233037 13.214808
15 64.518132 24.289115 12.53739
16 68.41557 26.520045 12.896626
17 68.41557 27.161823 13.248293
18 68.41557 28.162794 13.877989
19 68.41557 29.920789 13.793643
20 68.41557 30.212294 13.784605
21 68.41557 31.379767 13.449842
22 68.41557 31.992513 13.407236
23 68.41557 32.845372 13.455259
24 68.41557 33.683746 13.298107
25 68.41557 34.450574 13.330989
26 74.384688 35.665659 13.641039
27 74.384688 36.540395 14.231659
28 74.384688 37.842753 14.152519
29 74.384688 38.062698 13.976591
