gen          best        mean
0       30.517067   -3.932748
1       38.611715   -2.692546
2       64.202563   -1.956235
3       26.133605   -4.807175
4       31.451270   -3.404773
5       36.052128   -1.499585
6       37.403640   -3.006821
7       34.363011   -3.422016
8       25.752693   -3.609099
9       48.121747   -2.028597
10      33.767963   -3.908471
11      26.056501   -3.679475
12      30.699455   -3.987549
13      49.303740   -1.851579
14      39.196586   -3.538123
15      39.656267   -3.341702
16      31.517994   -3.130983
17      21.152429   -3.902342
18      68.358391   -3.219718
19      41.328001   -2.904681
20      20.304071   -4.043023
21      51.658111   -3.988089
22      24.129907   -3.477866
23      34.983786   -2.932029
24      41.443859   -3.588260
25      34.173287   -3.965060
26      44.727132   -3.553811
27      38.601712   -2.930069
28      41.278500   -4.133795
29      24.182259   -3.141384
