gen          best        mean
0       26.469172   -4.291004
1       85.559180   -2.978506
2       34.406230   -4.127695
3       38.005788   -4.178035
4       35.560199   -4.660027
5       24.182259   -4.026787
6       52.646236   -3.327422
7       24.143422   -4.228147
8       32.058313   -3.995285
9       40.043201   -2.905171
10      30.806658   -3.618295
11      31.560384   -3.868054
12      35.458633   -1.634174
13      29.682024   -3.640181
14      31.061219   -2.945711
15      23.050099   -4.112533
16      20.271001   -5.091252
17      34.436456   -4.236816
18      24.178109   -3.436179
19      35.422921   -2.013042
20      35.122805   -3.547047
21      58.117611   -3.223267
22      24.182259   -3.729046
23      48.248707   -3.009589
24      27.114584   -2.968149
25      49.012447   -2.851960
26      41.605593   -3.274081
27      35.908222   -2.966235
28      46.128413   -2.849906
29      24.184370   -3.177350
