gen          best        mean
0       26.648782   -3.552379
1       26.646971   -3.763207
2       46.971655   -2.784239
3       32.767187   -3.491481
4       60.661764   -3.208080
5       19.910447   -3.429880
6       46.763888   -2.922348
7       35.984333   -3.843685
8       11.996669   -4.229104
9        9.879474   -4.330165
10      35.720005   -3.300876
11      34.346862   -3.537192
12      23.923043   -3.412536
13      31.014048   -3.529600
14      44.607269   -3.602474
15      37.914532   -3.921371
16       9.879148   -4.960246
17      28.798013   -3.503400
18      19.954317   -4.072067
19      34.590027   -2.693930
20      48.944975   -3.045778
21      32.917329   -3.353554
22      37.895989   -4.323305
23      23.940040   -3.709975
24      14.001081   -3.901361
25      54.044513   -4.228709
26      47.055253   -3.340600
27       9.879433   -4.526834
28      30.845164   -2.818673
29      49.089045   -2.771977
